Super Critical,,Conventional,
X,Y,X,Y
-0.02874416935773233,0.6995215727209465,-0.039269364598422125,0.6612383292739504
-0.028250807319698597,0.6973469032707029,-0.038425811029603935,0.6593156373410254
-0.027622891998564762,0.6951722338204593,-0.037625516618161034,0.65721815523238
-0.026994976677430928,0.6920914520992809,-0.036630555998529324,0.6547710927722937
-0.026187656978830284,0.6886482254697286,-0.03585189116577407,0.6524114254000676
-0.025514890563329742,0.6853862212943633,-0.0351597446477694,0.6501391531157017
-0.024842124147829207,0.6823054395731849,-0.03420804318551298,0.6477794857434757
-0.024214208826695373,0.6790434353978196,-0.03347263751013302,0.6458567938105507
-0.023362038033728022,0.6754189863140803,-0.032607454362627186,0.6434971264383247
-0.02264442052386078,0.671613314776154,-0.03187204868724722,0.6416618295932599
-0.021837100825260136,0.6683513106007888,-0.031179902169242556,0.6398265327481951
-0.021074632221026193,0.6647268615170494,-0.03048775565123788,0.6376416555516895
-0.02040186580552565,0.6614648573416841,-0.029882127447983797,0.6359811488823452
-0.019818801578758524,0.6583840756205057,-0.02925486966604207,0.634320642213001
-0.019011481880157874,0.6553032938993273,-0.02841131609722388,0.6321357650164954
-0.01829386437029063,0.6514976223614011,-0.027697540000531568,0.630475258347151
-0.017576246860423396,0.6480543957318488,-0.027091911797277476,0.6287273565899465
-0.016913032066871315,0.6449828429319484,-0.026486283594023392,0.626979454832742
-0.01639392217836782,0.6417317456635481,-0.025988803284207537,0.6255811334269784
-0.01566716833446291,0.6383757742897154,-0.025210138451452285,0.6237458365819136
-0.015044236468258712,0.635124677021315,-0.024561251090822904,0.6216483544732683
-0.014369393613204155,0.6315589574366178,-0.023804215836755308,0.6195508723646228
-0.013720506252574788,0.6287273565899465,-0.02311206931875063,0.6178029706074183
-0.01312352988079575,0.6256860075324107,-0.022506441115496545,0.6160550688502138
-0.012448687025741208,0.6220154138422812,-0.021814294597491873,0.6141323769172888
-0.011773844170686651,0.6185545683630163,-0.021165407236862492,0.6124718702479446
-0.010995179337931399,0.614988848778319,-0.020473260718857828,0.6105491783150196
-0.01045011395500272,0.6119474997207832,-0.019932521251666682,0.6088886716456754
-0.009827182088798514,0.6082769060306538,-0.01906733810416085,0.606441609185589
-0.009126383739318795,0.6047111864459566,-0.018483339479594407,0.604518917252664
-0.008529407367539758,0.6014600891775561,-0.017856081697652675,0.6026836204075994
-0.008010297479036262,0.5986284883308849,-0.01714230560096036,0.6007609284746743
-0.007543098579383109,0.5961115098005103,-0.0164068999255804,0.5987508414538891
-0.0071278106685803075,0.5936994053755682,-0.015693123828888086,0.5966533593452438
-0.006582745285651635,0.590133685790871,-0.015065866046946354,0.5947306674123187
-0.006063635397148132,0.5877215813659287,-0.014481867422379918,0.5926331853036734
-0.005596436497494972,0.5841558617812315,-0.013703202589624666,0.5908852835464689
-0.005025415620141124,0.5813242609345602,-0.012989426492932353,0.5887878014378235
-0.004428439248362101,0.578178037771592,-0.01240542786836591,0.586690319329178
-0.003961240348708948,0.5753464369249208,-0.011670022192985949,0.5848550224841134
-0.0035199969434809714,0.5725148360782495,-0.010977875674981277,0.5828449354633282
-0.0030008870549774677,0.5694734870207137,-0.010307358735664254,0.580485268091102
-0.002481777166473964,0.5665370120686101,-0.009550323481596651,0.5783877859824567
-0.0019107562891201163,0.5628664183784806,-0.008836547384904338,0.576202908785951
-0.0012359134340655595,0.5594055728992157,-0.008166030445587308,0.5741928217651658
-0.0006648925567117117,0.5556301051036538,-0.007582031821020872,0.5723575249201011
-0.0001717381626333836,0.5522741337298213,-0.006781737409577972,0.5702600428114557
0.00037332722029528864,0.5484986659342596,-0.005981442998135071,0.5680751656149501
0.0008924371087987854,0.5448280722441301,-0.005310926058818055,0.5658902884184445
0.001411546997302296,0.5415769749757297,-0.004553890804750445,0.5635306210462183
0.001852790402530266,0.5383258777073292,-0.0037968555506828344,0.5613457438497127
0.0024497667743093032,0.5346552840171999,-0.003147968190053467,0.5595978420925082
0.0029429211683876244,0.5311944385379348,-0.002477451250736437,0.5575003599838627
0.00341012006804077,0.5276287189532376,-0.0018934526261699947,0.5553154827873571
0.003851363473268754,0.5240629993685405,-0.001158046950790033,0.5533927908544322
0.004396428856197426,0.5202875315729787,-0.0003793821180347809,0.5506835431307652
0.004915538744700923,0.5166169378828493,0.00044254187209576135,0.5483238757585391
0.005408693138779258,0.5126317218764229,0.0013293545982892424,0.545964208386313
0.0058239810495820665,0.5089611281862936,0.0021512785884197916,0.5435171459262267
0.006369046432510739,0.5046612898635705,0.0028217955277368145,0.5415944539933017
0.006914111815439411,0.5004663256462796,0.0035355716244291208,0.5391473915332154
0.007303444231817044,0.49669085785071787,0.004292606878496724,0.53704990942457
0.00777064313147019,0.49281051594972386,0.0051577900260025705,0.534340661700903
0.00821188653669816,0.48893017404872985,0.005871566122694891,0.5325053648558382
0.00867908543635132,0.4846303357260068,0.006498823904636616,0.5300583023957519
0.009016506863878587,0.4812743643521741,0.007320747894767166,0.5276112399356656
0.009276061808130343,0.47707940013488326,0.007991264834084175,0.5257759430906008
0.009795171696633853,0.471940568968702,0.008553633879962969,0.5237658560698157
0.010106637629735946,0.4671163601188176,0.009137632504529411,0.5223675346640521
0.010444059057263227,0.4622921512689331,0.009894667758597014,0.5196582869403852
0.010625747518239456,0.4576776906299132,0.010521925540538754,0.5178229900953204
0.010807435979215671,0.45096574788224786,0.011127553743792831,0.5155507178109545
0.011015079934617075,0.44540742029433755,0.011841329840485151,0.5135406307901693
0.01122272389001848,0.43942959628469813,0.012468587622426877,0.5117927290329648
0.011248679384443655,0.43607362491086543,0.0131391045617439,0.5096078518364592
0.011378456856569519,0.43250790532616823,0.013744732764997991,0.5071607893763728
0.011378456856569519,0.42967630447949695,0.014501768019065595,0.5050633072677275
0.011404412350994708,0.4253764661567738,0.015302062430508495,0.5026162448076411
0.01150823432869541,0.42044738320145714,0.01595094979113787,0.5002565774354151
0.01166396729524645,0.4155183002461404,0.01677287378126842,0.49798430515104913
0.011793744767372327,0.40975022444736553,0.017313613248459564,0.4956246377788231
0.011767789272947152,0.40471626738661653,0.017984130187776587,0.4935271556701777
0.012027344217198907,0.40125542190735164,0.018589758391030664,0.4916044637372527
0.011975433228348556,0.39852869516611256,0.019238645751660052,0.4895943767164675
,,0.019887533112289427,0.48723470934424146
